query_id,client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,is_open,valid_before_norm,normalized_mobile,valid_after_norm,query_created_time,query_closed_time,resolution_time_days,category,is_valid_email
Q0001,joshuaoneill@example.net,6638686049,Bug Report,Tab focus jumps incorrectly.,Closed,2025-02-26,2025-02-27,False,True,6638686049,True,2025-02-26,2025-02-27,1.0,Bug Report,True
Q0002,edward91@example.net,6369365581,Bug Report,Form validation not working properly.,Closed,2025-07-22,2025-08-01,False,True,6369365581,True,2025-07-22,2025-08-01,10.0,Bug Report,True
Q0003,cookmason@example.org,2686615523,Account Suspension,Need help lifting restrictions.,Closed,2025-06-18,2025-06-19,False,False,2686615523,False,2025-06-18,2025-06-19,1.0,Account Suspension,True
Q0004,wtaylor@example.com,4753393384,Data Export,Need monthly data dump in CSV.,Closed,2025-02-25,2025-03-07,False,False,4753393384,False,2025-02-25,2025-03-07,10.0,Data Export,True
Q0005,rmoore@example.net,8523755943,UI Feedback,Icons not intuitive.,Closed,2025-06-19,2025-06-20,False,True,8523755943,True,2025-06-19,2025-06-20,1.0,UI Feedback,True
Q0006,carrollamanda@example.net,5114031913,Technical Support,Graphs not rendering properly.,Closed,2025-05-12,2025-05-26,False,False,5114031913,False,2025-05-12,2025-05-26,14.0,Technical Support,True
Q0007,chavezlouis@example.com,5120344433,Account Suspension,How do I appeal a suspension?,Closed,2025-04-05,2025-04-12,False,False,5120344433,False,2025-04-05,2025-04-12,7.0,Account Suspension,True
Q0008,monica93@example.net,9214400119,Billing Problem,Promo code was not applied.,Closed,2025-06-10,2025-06-12,False,True,9214400119,True,2025-06-10,2025-06-12,2.0,Billing Problem,True
Q0009,stephaniejackson@example.net,3033595411,Payment Failure,EMI option not available anymore.,Closed,2025-07-23,2025-07-24,False,False,3033595411,False,2025-07-23,2025-07-24,1.0,Payment Failure,True
Q0010,gregory24@example.com,4191042037,Feature Request,Suggesting calendar integration.,Closed,2025-06-18,2025-06-20,False,False,4191042037,False,2025-06-18,2025-06-20,2.0,Feature Request,True
Q0011,virginia01@example.org,9734118945,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-06-15,2025-06-16,False,True,9734118945,True,2025-06-15,2025-06-16,1.0,Subscription Cancellation,True
Q0012,eneal@example.org,3879415680,Data Export,Exported PDF looks blank.,Closed,2025-05-19,2025-05-21,False,False,3879415680,False,2025-05-19,2025-05-21,2.0,Data Export,True
Q0013,colecynthia@example.net,5617939417,Data Export,Need export in regional time zone.,Closed,2025-03-16,2025-03-29,False,False,5617939417,False,2025-03-16,2025-03-29,13.0,Data Export,True
Q0014,areid@example.com,3070184682,Technical Support,Getting JSON decode error.,Closed,2025-05-28,2025-06-04,False,False,3070184682,False,2025-05-28,2025-06-04,7.0,Technical Support,True
Q0015,davidstephens@example.com,3917521611,Billing Problem,Refund not credited after 7 days.,Closed,2025-04-11,2025-04-22,False,False,3917521611,False,2025-04-11,2025-04-22,11.0,Billing Problem,True
Q0016,qfuller@example.com,4905937145,Login Issue,Cannot log in on mobile app.,Closed,2025-07-15,2025-07-17,False,False,4905937145,False,2025-07-15,2025-07-17,2.0,Login Issue,True
Q0017,tchapman@example.com,9995378276,Payment Failure,Need help with failed subscription payment.,Closed,2025-05-29,2025-06-01,False,True,9995378276,True,2025-05-29,2025-06-01,3.0,Payment Failure,True
Q0018,fnielsen@example.org,2206017563,Subscription Cancellation,Want refund for unused days.,Closed,2025-05-27,2025-05-29,False,False,2206017563,False,2025-05-27,2025-05-29,2.0,Subscription Cancellation,True
Q0019,andersontristan@example.com,4538801808,Technical Support,Cannot upload files to cloud.,Closed,2025-02-19,2025-02-20,False,False,4538801808,False,2025-02-19,2025-02-20,1.0,Technical Support,True
Q0020,zsteele@example.com,5610385254,Payment Failure,Payment shows success but app locked.,Closed,2025-04-19,2025-04-20,False,False,5610385254,False,2025-04-19,2025-04-20,1.0,Payment Failure,True
Q0021,kenneth93@example.org,3203920567,Feature Request,Need voice assistant for dashboard.,Closed,2025-05-24,2025-06-06,False,False,3203920567,False,2025-05-24,2025-06-06,13.0,Feature Request,True
Q0022,adam25@example.net,1759888188,Technical Support,Live chat not launching.,Closed,2025-05-29,2025-05-30,False,False,1759888188,False,2025-05-29,2025-05-30,1.0,Technical Support,True
Q0023,orozcobrandon@example.net,1235104093,Feature Request,Requesting PDF report generation.,Closed,2025-04-26,2025-04-29,False,False,1235104093,False,2025-04-26,2025-04-29,3.0,Feature Request,True
